university_name_en;university_name_ru;longitude;latitude;university_logo_filename
Perm State University;Пермский государственный университет;56.1867;58.0075;perm_state_university.png
Ufa State Petroleum Technological University;Уфимский государственный нефтяной технический университет;56.0585;54.8185;ufa_state_petroleum_technological_university.png
University of Rennes 2;Университет Ренна 2;-1.703;48.119;university_rennes.png
University of Strasbourg;Университет Страсбурга;7.764444;48.580278;university_strasbourg.png
Pantheon-Sorbonne University;Университет Пантеон-Сорбонна;2.343333;48.848611;pantheon_sorbonne_university.png
University of Southampton;Университет Саутгемптона;-1.39595;50.93463;university_southampton.png
University of Helsinki;Университет Хельсинки;24.95;60.169444;university_helsinki.png
University of Konstanz;Университет Констанца;9.188;47.69;university_konstanz.png
Tel Aviv University;Тель-Авивский университет;34.801361;32.111767;tel_aviv_university.png
Saint Petersburg State Institute of Technology;Санкт-Петербургский государственный технологический институт;30.32;59.9183;saint_petersburg_state_institute_technology.png
Paris Nanterre University;Парижский университет в Нантере;2.213889;48.903889;paris_nanterre_university.png
